CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber
1/19/16,1430,1F,0 S CULVER ST,HOMICIDE,FIREARM,842,SOUTHWESTERN,Saint Josephs,"(39.2855500000, -76.6778300000)",
1/19/16,1816,1F,400 ROUNDVIEW RD,HOMICIDE,FIREARM,922,SOUTHERN,Cherry Hill,"(39.2498200000, -76.6200500000)",
1/18/16,1607,1F,3400 FAIRVIEW AV,HOMICIDE,FIREARM,642,NORTHWESTERN,Forest Park,"(39.3218500000, -76.6747500000)",
1/15/16,1925,1F,2500 ORLEANS ST,HOMICIDE,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2956600000, -76.5820400000)",
1/12/16,2116,1F,5600 HADDON AV,HOMICIDE,FIREARM,623,NORTHWESTERN,Grove Park,"(39.3379900000, -76.7044900000)",
1/11/16,1517,1O,500 E NORTH AV,HOMICIDE,OTHER,342,EASTERN,East Baltimore Midway,"(39.3114700000, -76.6092600000)",
1/10/16,2104,1K,3300 OLD YORK RD,HOMICIDE,KNIFE,543,NORTHERN,Waverly,"(39.3285400000, -76.6084700000)",
1/7/16,1712,1F,1100 W SARATOGA ST,HOMICIDE,FIREARM,712,WESTERN,Poppleton,"(39.2924200000, -76.6356100000)",
1/7/16,1938,1F,5900 WINTHROPE AV,HOMICIDE,FIREARM,425,NORTHEASTERN,Glenham-Belhar,"(39.3514200000, -76.5474400000)",
1/7/16,2045,1F,300 E LANVALE ST,HOMICIDE,FIREARM,311,EASTERN,Greenmount West,"(39.3089500000, -76.6117700000)",
1/5/16,1119,1O,6400 PULASKI HWY,HOMICIDE,OTHER,241,NORTHEASTERN,Pulaski Industrial Area,"(39.3038500000, -76.5409500000)",
1/1/16,1342,1O,2300 E MADISON ST,HOMICIDE,OTHER,323,EASTERN,Milton-Montford,"(39.2997800000, -76.5846900000)",
12/31/15,2014,1F,0 N POPPLETON ST,HOMICIDE,FIREARM,712,WESTERN,Poppleton,"(39.2895300000, -76.6321500000)",
